po,style,total_qty_to_produce,estimated_fabrics_needed,requested_fabrics_qty,needed_qty
PO-2026-0001,ST-ALPHA,10000,7200,7500,7600
PO-2026-0002,ST-ALPHA,12000,8600,9000,9050
PO-2026-0003,ST-ALPHA,8000,5800,6000,5980
PO-2026-0004,ST-ALPHA,15000,10700,11000,11150
PO-2026-0005,ST-ALPHA,9000,6600,6800,6900
PO-2026-0006,ST-ALPHA,11000,7900,8200,8300
PO-2026-0007,ST-ALPHA,7000,5050,5200,5250
PO-2026-0008,ST-ALPHA,13000,9300,9600,9680
PO-2026-0009,ST-ALPHA,14000,10000,10200,10320
PO-2026-0010,ST-ALPHA,6000,4300,4450,4500
PO-2026-0011,ST-BETA,10000,7000,7300,7400
PO-2026-0012,ST-BETA,12000,8200,8500,8600
PO-2026-0013,ST-BETA,8000,5600,5800,5850
PO-2026-0014,ST-BETA,15000,10400,10700,10850
PO-2026-0015,ST-BETA,9000,6300,6500,6600
PO-2026-0016,ST-BETA,11000,7700,8000,8100
PO-2026-0017,ST-BETA,7000,4900,5050,5100
PO-2026-0018,ST-BETA,13000,9000,9300,9400
PO-2026-0019,ST-BETA,14000,9700,9950,10050
PO-2026-0020,ST-BETA,6000,4200,4350,4400
PO-2026-0021,ST-GAMMA,9500,6800,7000,7100
PO-2026-0022,ST-GAMMA,12500,8950,9200,9300
PO-2026-0023,ST-GAMMA,7800,5550,5750,5800
PO-2026-0024,ST-GAMMA,15500,11100,11450,11600
PO-2026-0025,ST-GAMMA,9200,6600,6800,6900
PO-2026-0026,ST-GAMMA,10800,7750,8000,8100
PO-2026-0027,ST-GAMMA,7200,5100,5250,5300
PO-2026-0028,ST-GAMMA,13200,9450,9700,9800
PO-2026-0029,ST-GAMMA,14200,10150,10400,10500
PO-2026-0030,ST-GAMMA,6100,4300,4450,4520
PO-2026-0031,ST-DELTA,10200,7350,7600,7700
PO-2026-0032,ST-DELTA,12300,8800,9050,9150
PO-2026-0033,ST-DELTA,8100,5850,6050,6120
PO-2026-0034,ST-DELTA,15100,10900,11200,11350
PO-2026-0035,ST-DELTA,9300,6800,7000,7100
PO-2026-0036,ST-DELTA,11100,8000,8300,8400
PO-2026-0037,ST-DELTA,7300,5200,5350,5400
PO-2026-0038,ST-DELTA,13100,9400,9650,9750
PO-2026-0039,ST-DELTA,14100,10100,10350,10450
PO-2026-0040,ST-DELTA,6200,4400,4550,4600
PO-2026-0041,ST-EPSILON,9800,7050,7300,7400
PO-2026-0042,ST-EPSILON,12200,8850,9100,9200
PO-2026-0043,ST-EPSILON,7900,5650,5850,5920
PO-2026-0044,ST-EPSILON,14900,10800,11100,11250
PO-2026-0045,ST-EPSILON,9100,6600,6800,6900
PO-2026-0046,ST-EPSILON,10900,7900,8200,8300
PO-2026-0047,ST-EPSILON,7100,5050,5200,5250
PO-2026-0048,ST-EPSILON,12900,9350,9600,9700
PO-2026-0049,ST-EPSILON,13900,10100,10350,10450
PO-2026-0050,ST-EPSILON,6050,4350,4500,4550
PO-2026-0051,ST-OMEGA,10050,7200,7450,7550
PO-2026-0052,ST-OMEGA,11950,8600,8850,8950
PO-2026-0053,ST-OMEGA,8200,5900,6100,6150
PO-2026-0054,ST-OMEGA,15200,11050,11350,11500
PO-2026-0055,ST-OMEGA,9400,6900,7100,7200
PO-2026-0056,ST-OMEGA,11200,8100,8400,8500
PO-2026-0057,ST-OMEGA,7400,5300,5450,5500
PO-2026-0058,ST-OMEGA,13300,9550,9800,9900
PO-2026-0059,ST-OMEGA,14300,10300,10550,10650
PO-2026-0060,ST-OMEGA,6250,4450,4600,4650
PO-2026-0061,ST-SIGMA,10100,7250,7500,7600
PO-2026-0062,ST-SIGMA,11800,8550,8800,8900
PO-2026-0063,ST-SIGMA,8300,5950,6150,6200
PO-2026-0064,ST-SIGMA,15300,11100,11400,11550
PO-2026-0065,ST-SIGMA,9500,7000,7200,7300
PO-2026-0066,ST-SIGMA,11300,8150,8450,8550
PO-2026-0067,ST-SIGMA,7500,5350,5500,5550
PO-2026-0068,ST-SIGMA,13400,9600,9850,9950
PO-2026-0069,ST-SIGMA,14400,10400,10650,10750
PO-2026-0070,ST-SIGMA,6300,4500,4650,4700
PO-2026-0071,ST-ZETA,9900,7100,7350,7450
PO-2026-0072,ST-ZETA,12100,8800,9050,9150
PO-2026-0073,ST-ZETA,8000,5750,5950,6020
PO-2026-0074,ST-ZETA,15050,10900,11200,11350
PO-2026-0075,ST-ZETA,9200,6750,6950,7050
PO-2026-0076,ST-ZETA,11050,8050,8350,8450
PO-2026-0077,ST-ZETA,7200,5150,5300,5350
